station,aos,los,duration,angle
Svalbard,06/01/2024 02:46:33,06/01/2024 02:47:56,82.893,0
Svalbard,06/01/2024 04:25:13,06/01/2024 04:26:36,82.671,20
Fairbanks,06/01/2024 04:35:04,06/01/2024 04:36:30,86.099,-20
Troll,06/01/2024 07:01:16,06/01/2024 07:03:20,123.451,0
Troll,06/01/2024 07:01:17,06/01/2024 07:03:18,120.504,-10
Troll,06/01/2024 07:01:27,06/01/2024 07:03:06,98.992,-20
Troll,06/01/2024 08:38:52,06/01/2024 08:41:17,145.326,20
Troll,06/01/2024 13:30:30,06/01/2024 13:32:11,100.585,20
Fairbanks,06/01/2024 14:15:59,06/01/2024 14:16:31,31.576,-10
Fairbanks,06/01/2024 14:16:14,06/01/2024 14:17:31,76.508,-20
Troll,06/01/2024 15:07:47,06/01/2024 15:09:57,129.737,10
Troll,06/01/2024 15:07:49,06/01/2024 15:10:02,132.439,20
Troll,06/01/2024 15:08:03,06/01/2024 15:09:42,99.204,0
Troll,06/01/2024 15:08:42,06/01/2024 15:09:04,22.724,-10
Troll,06/01/2024 16:48:06,06/01/2024 16:48:23,16.189,-20
Svalbard,06/01/2024 17:43:54,06/01/2024 17:45:28,93.704,10
Svalbard,06/01/2024 19:22:19,06/01/2024 19:23:43,84.126,-20
Punta Arenas,06/01/2024 21:38:04,06/01/2024 21:40:05,121.278,-10
Punta Arenas,06/01/2024 21:38:14,06/01/2024 21:39:57,103.285,-20
Punta Arenas,06/01/2024 21:38:56,06/01/2024 21:40:04,68.196,0
Svalbard,06/02/2024 01:53:26,06/02/2024 01:53:45,18.098,-10
Svalbard,06/02/2024 01:53:45,06/02/2024 01:54:52,66.903,-20
Svalbard,06/02/2024 03:31:28,06/02/2024 03:32:36,67.939,20
Svalbard,06/02/2024 03:32:05,06/02/2024 03:33:18,73.449,10
Fairbanks,06/02/2024 03:42:14,06/02/2024 03:43:18,63.796,20
Fairbanks,06/02/2024 03:42:37,06/02/2024 03:42:58,21.477,10
Troll,06/02/2024 06:08:01,06/02/2024 06:10:37,155.95,-20
Troll,06/02/2024 07:46:17,06/02/2024 07:48:43,146.115,20
Troll,06/02/2024 07:46:25,06/02/2024 07:48:33,127.712,10
Troll,06/02/2024 07:46:45,06/02/2024 07:48:12,87.279,0
Troll,06/02/2024 09:24:14,06/02/2024 09:25:42,88.023,20
Punta Arenas,06/02/2024 11:10:27,06/02/2024 11:12:35,128.73,10
Punta Arenas,06/02/2024 11:10:28,06/02/2024 11:12:33,124.891,20
Punta Arenas,06/02/2024 11:10:34,06/02/2024 11:12:26,111.938,0
Punta Arenas,06/02/2024 11:10:52,06/02/2024 11:12:05,73.068,-10
Troll,06/02/2024 14:15:01,06/02/2024 14:17:30,149.132,20
Troll,06/02/2024 14:15:49,06/02/2024 14:16:43,53.547,10
Fairbanks,06/02/2024 15:01:03,06/02/2024 15:02:41,98.174,20
Fairbanks,06/02/2024 15:01:40,06/02/2024 15:02:49,68.916,10
Troll,06/02/2024 15:53:02,06/02/2024 15:55:08,125.773,-10
Troll,06/02/2024 15:53:09,06/02/2024 15:55:02,112.825,-20
Troll,06/02/2024 15:53:40,06/02/2024 15:55:05,85.683,0
Svalbard,06/02/2024 16:50:36,06/02/2024 16:52:23,107.115,20
Svalbard,06/02/2024 18:29:18,06/02/2024 18:30:12,54.447,0
Svalbard,06/02/2024 18:29:54,06/02/2024 18:30:19,24.943,-10
Punta Arenas,06/02/2024 20:45:30,06/02/2024 20:47:21,111.386,20
Svalbard,06/03/2024 02:38:51,06/03/2024 02:40:20,88.381,0
Svalbard,06/03/2024 04:17:25,06/03/2024 04:19:06,100.994,20
Fairbanks,06/03/2024 04:27:46,06/03/2024 04:28:36,50.113,-20
Troll,06/03/2024 06:53:39,06/03/2024 06:55:45,126.266,-10
Troll,06/03/2024 06:53:42,06/03/2024 06:55:43,120.751,0
Troll,06/03/2024 06:53:45,06/03/2024 06:55:39,114.041,-20
Troll,06/03/2024 08:31:17,06/03/2024 08:33:47,149.555,20
Troll,06/03/2024 08:32:03,06/03/2024 08:33:00,56.257,10
Punta Arenas,06/03/2024 11:55:57,06/03/2024 11:57:04,67.148,20
Troll,06/03/2024 13:23:06,06/03/2024 13:24:33,86.611,20
Fairbanks,06/03/2024 14:08:26,06/03/2024 14:09:27,60.984,-20
Troll,06/03/2024 15:00:04,06/03/2024 15:02:31,146.466,20
Troll,06/03/2024 15:00:15,06/03/2024 15:02:22,127.338,10
Troll,06/03/2024 15:00:36,06/03/2024 15:02:02,85.869,0
Troll,06/03/2024 16:39:54,06/03/2024 16:40:46,51.826,-20
Svalbard,06/03/2024 17:36:23,06/03/2024 17:37:43,80.407,10
Svalbard,06/03/2024 19:14:49,06/03/2024 19:16:02,72.555,-20
Punta Arenas,06/03/2024 21:30:29,06/03/2024 21:32:30,121.016,0
Punta Arenas,06/03/2024 21:30:39,06/03/2024 21:32:22,102.786,-10
Punta Arenas,06/03/2024 21:31:01,06/03/2024 21:32:00,58.834,-20
Punta Arenas,06/03/2024 21:31:25,06/03/2024 21:32:29,64.241,10
Svalbard,06/04/2024 01:46:03,06/04/2024 01:47:22,79.663,-20
Svalbard,06/04/2024 03:24:19,06/04/2024 03:25:48,88.672,10
Fairbanks,06/04/2024 03:34:05,06/04/2024 03:36:13,128.018,20
Troll,06/04/2024 06:02:42,06/04/2024 06:03:00,17.174,-20
Troll,06/04/2024 07:38:46,06/04/2024 07:41:06,140.231,20
Troll,06/04/2024 07:38:51,06/04/2024 07:41:01,129.979,10
Troll,06/04/2024 07:39:05,06/04/2024 07:40:45,100.272,0
Troll,06/04/2024 07:39:40,06/04/2024 07:40:09,28.625,-10
Troll,06/04/2024 09:16:36,06/04/2024 09:18:18,101.848,20
Punta Arenas,06/04/2024 11:02:55,06/04/2024 11:04:57,121.749,0
Punta Arenas,06/04/2024 11:02:57,06/04/2024 11:04:57,120.65,10
Punta Arenas,06/04/2024 11:03:02,06/04/2024 11:04:48,105.794,-10
Punta Arenas,06/04/2024 11:03:21,06/04/2024 11:04:27,66.203,-20
Troll,06/04/2024 14:07:31,06/04/2024 14:09:56,144.838,20
Fairbanks,06/04/2024 14:53:24,06/04/2024 14:53:59,34.311,20
Fairbanks,06/04/2024 14:53:48,06/04/2024 14:55:27,98.798,10
Troll,06/04/2024 15:45:28,06/04/2024 15:47:31,123.501,0
Troll,06/04/2024 15:45:30,06/04/2024 15:47:30,119.842,-10
Troll,06/04/2024 15:45:42,06/04/2024 15:47:19,97.501,-20
Svalbard,06/04/2024 16:43:05,06/04/2024 16:44:36,91.009,20
