station,aos,los,duration,angle
Svalbard,09/23/2023 20:35:04,09/23/2023 20:37:11,126.47,-20
Svalbard,09/23/2023 20:35:04,09/23/2023 20:37:10,125.568,-10
Punta Arenas,09/23/2023 21:14:19,09/23/2023 21:15:15,55.678,20
Svalbard,09/23/2023 22:14:59,09/23/2023 22:15:08,9.315,-20
Svalbard,09/23/2023 23:52:29,09/23/2023 23:52:49,19.657,-20
Svalbard,09/24/2023 01:28:21,09/24/2023 01:30:26,125.342,-10
Svalbard,09/24/2023 01:28:22,09/24/2023 01:30:25,123.136,-20
Svalbard,09/24/2023 03:06:29,09/24/2023 03:08:35,125.581,10
Svalbard,09/24/2023 03:06:40,09/24/2023 03:08:42,122.634,20
Svalbard,09/24/2023 03:06:46,09/24/2023 03:08:18,92.113,0
Svalbard,09/24/2023 04:45:20,09/24/2023 04:47:00,100.642,20
Fairbanks,09/24/2023 04:55:05,09/24/2023 04:57:03,117.768,0
Fairbanks,09/24/2023 04:55:15,09/24/2023 04:56:56,101.044,-10
Fairbanks,09/24/2023 04:55:17,09/24/2023 04:56:06,49.13,10
Fairbanks,09/24/2023 04:55:35,09/24/2023 04:56:36,60.313,-20
Troll,09/24/2023 07:21:38,09/24/2023 07:23:29,110.763,-20
Troll,09/24/2023 08:59:09,09/24/2023 09:01:37,147.858,20
Troll,09/24/2023 08:59:59,09/24/2023 09:00:46,47.734,10
Punta Arenas,09/24/2023 12:23:58,09/24/2023 12:24:45,47.09,20
Troll,09/24/2023 13:50:57,09/24/2023 13:52:24,86.333,20
Fairbanks,09/24/2023 14:36:13,09/24/2023 14:38:10,117.371,-10
Fairbanks,09/24/2023 14:36:22,09/24/2023 14:38:00,98.254,-20
Fairbanks,09/24/2023 14:37:09,09/24/2023 14:38:12,62.783,0
Troll,09/24/2023 15:28:07,09/24/2023 15:29:22,74.973,10
Troll,09/24/2023 15:28:27,09/24/2023 15:29:54,87.162,0
Svalbard,09/24/2023 18:03:42,09/24/2023 18:06:12,149.268,20
Svalbard,09/24/2023 18:04:15,09/24/2023 18:05:40,84.777,10
Svalbard,09/24/2023 19:42:19,09/24/2023 19:44:19,119.297,0
Svalbard,09/24/2023 19:42:25,09/24/2023 19:44:13,107.78,-10
Svalbard,09/24/2023 19:42:42,09/24/2023 19:43:57,75.727,-20
Svalbard,09/24/2023 21:20:04,09/24/2023 21:22:27,142.55,-20
Punta Arenas,09/24/2023 21:59:03,09/24/2023 22:00:16,73.137,-10
Punta Arenas,09/24/2023 21:59:19,09/24/2023 21:59:58,38.802,-20
Svalbard,09/25/2023 00:35:29,09/25/2023 00:37:52,143.009,-20
Svalbard,09/25/2023 02:13:37,09/25/2023 02:15:37,119.684,0
Svalbard,09/25/2023 02:13:42,09/25/2023 02:15:31,108.909,-10
Svalbard,09/25/2023 02:13:58,09/25/2023 02:15:15,77.901,-20
Svalbard,09/25/2023 03:51:43,09/25/2023 03:54:13,149.994,20
Svalbard,09/25/2023 03:52:14,09/25/2023 03:53:42,87.66,10
Fairbanks,09/25/2023 04:01:57,09/25/2023 04:04:10,132.078,20
Troll,09/25/2023 08:06:58,09/25/2023 08:08:35,97.31,0
Troll,09/25/2023 08:07:43,09/25/2023 08:07:49,5.213,-10
Troll,09/25/2023 09:44:29,09/25/2023 09:46:07,97.284,20
Punta Arenas,09/25/2023 11:30:56,09/25/2023 11:32:36,100.62,-10
Punta Arenas,09/25/2023 11:31:19,09/25/2023 11:32:12,52.834,-20
Troll,09/25/2023 14:35:23,09/25/2023 14:37:47,144.291,20
Fairbanks,09/25/2023 15:21:18,09/25/2023 15:23:48,150.246,20
Fairbanks,09/25/2023 15:21:44,09/25/2023 15:23:20,95.851,10
Troll,09/25/2023 16:13:22,09/25/2023 16:13:25,2.877,-10
Troll,09/25/2023 16:13:32,09/25/2023 16:15:13,100.199,-20
Svalbard,09/25/2023 17:10:57,09/25/2023 17:12:34,96.571,20
Svalbard,09/25/2023 18:49:13,09/25/2023 18:51:33,139.42,20
Svalbard,09/25/2023 18:49:21,09/25/2023 18:51:26,124.807,10
Svalbard,09/25/2023 18:49:39,09/25/2023 18:51:09,90.086,0
Svalbard,09/25/2023 20:27:30,09/25/2023 20:29:35,124.813,-10
Svalbard,09/25/2023 20:27:32,09/25/2023 20:29:34,122.07,-20
Punta Arenas,09/25/2023 21:06:12,09/25/2023 21:07:20,67.736,20
Svalbard,09/25/2023 22:07:07,09/25/2023 22:07:35,27.909,-20
Svalbard,09/25/2023 23:44:52,09/25/2023 23:45:16,23.217,-20
Svalbard,09/26/2023 01:20:45,09/26/2023 01:22:52,127.281,-20
Svalbard,09/26/2023 01:20:46,09/26/2023 01:22:52,125.803,-10
Svalbard,09/26/2023 02:58:53,09/26/2023 03:00:59,126.434,10
Svalbard,09/26/2023 02:59:06,09/26/2023 03:00:46,100.006,0
Svalbard,09/26/2023 02:59:20,09/26/2023 03:01:03,103.759,20
Svalbard,09/26/2023 02:59:35,09/26/2023 03:00:15,40.05,-10
Svalbard,09/26/2023 04:37:34,09/26/2023 04:39:28,114.348,20
Fairbanks,09/26/2023 04:47:26,09/26/2023 04:49:30,123.99,10
Fairbanks,09/26/2023 04:47:33,09/26/2023 04:49:25,111.654,0
Fairbanks,09/26/2023 04:47:50,09/26/2023 04:49:09,79.858,-10
Troll,09/26/2023 07:15:58,09/26/2023 07:15:59,1.234,-20
Troll,09/26/2023 08:51:35,09/26/2023 08:54:06,151.311,20
Troll,09/26/2023 08:52:13,09/26/2023 08:53:27,73.844,10
Punta Arenas,09/26/2023 12:15:56,09/26/2023 12:17:45,108.493,20
Troll,09/26/2023 13:43:35,09/26/2023 13:44:44,69.347,20
Fairbanks,09/26/2023 14:28:35,09/26/2023 14:30:39,123.831,-10
Fairbanks,09/26/2023 14:28:37,09/26/2023 14:30:35,117.318,-20
Troll,09/26/2023 15:20:35,09/26/2023 15:22:21,105.944,10
Troll,09/26/2023 15:21:02,09/26/2023 15:22:12,70.235,0
Svalbard,09/26/2023 17:56:06,09/26/2023 17:58:33,147.097,20
Svalbard,09/26/2023 17:56:46,09/26/2023 17:57:54,67.474,10
Svalbard,09/26/2023 19:34:44,09/26/2023 19:36:43,118.356,0
Svalbard,09/26/2023 19:34:53,09/26/2023 19:36:35,101.924,-10
Svalbard,09/26/2023 19:35:08,09/26/2023 19:36:24,76.721,10
Svalbard,09/26/2023 19:35:13,09/26/2023 19:36:15,61.711,-20
Svalbard,09/26/2023 21:12:31,09/26/2023 21:14:52,140.802,-20
Punta Arenas,09/26/2023 21:50:51,09/26/2023 21:52:16,85.274,0
Punta Arenas,09/26/2023 21:51:10,09/26/2023 21:52:26,75.694,-10
Svalbard,09/26/2023 22:52:31,09/26/2023 22:52:39,7.906,-20
Svalbard,09/27/2023 00:27:54,09/27/2023 00:30:19,144.222,-20
Svalbard,09/27/2023 02:06:02,09/27/2023 02:08:01,119.567,0
Svalbard,09/27/2023 02:06:05,09/27/2023 02:07:58,113.385,-10
Svalbard,09/27/2023 02:06:17,09/27/2023 02:07:45,88.571,-20
Svalbard,09/27/2023 03:44:06,09/27/2023 03:46:36,150.499,20
Svalbard,09/27/2023 03:44:31,09/27/2023 03:46:10,99.129,10
Fairbanks,09/27/2023 03:54:30,09/27/2023 03:56:21,111.603,20
Fairbanks,09/27/2023 05:32:28,09/27/2023 05:34:54,145.402,-20
Troll,09/27/2023 07:59:18,09/27/2023 08:01:06,107.699,0
Troll,09/27/2023 07:59:43,09/27/2023 08:00:41,58.559,-10
Troll,09/27/2023 09:36:52,09/27/2023 09:38:41,109.897,20
Punta Arenas,09/27/2023 11:23:20,09/27/2023 11:25:01,100.507,-20
Troll,09/27/2023 14:27:53,09/27/2023 14:30:12,138.979,20
Fairbanks,09/27/2023 15:13:42,09/27/2023 15:16:10,148.708,20
Fairbanks,09/27/2023 15:13:58,09/27/2023 15:15:52,113.59,10
Fairbanks,09/27/2023 15:14:35,09/27/2023 15:15:13,38.365,0
Troll,09/27/2023 16:05:51,09/27/2023 16:06:35,44.933,-10
Troll,09/27/2023 16:06:06,09/27/2023 16:07:28,81.829,-20
Svalbard,09/27/2023 17:03:28,09/27/2023 17:04:44,75.77,20
Svalbard,09/27/2023 18:41:35,09/27/2023 18:43:58,143.127,20
Svalbard,09/27/2023 18:41:46,09/27/2023 18:43:48,122.439,10
Svalbard,09/27/2023 18:42:08,09/27/2023 18:43:27,79.05,0
Svalbard,09/27/2023 20:19:56,09/27/2023 20:22:00,123.588,-10
Svalbard,09/27/2023 20:20:00,09/27/2023 20:21:57,117.038,-20
Svalbard,09/27/2023 21:57:34,09/27/2023 21:58:01,26.935,-20
Svalbard,09/27/2023 21:59:05,09/27/2023 22:00:01,55.513,-20
Svalbard,09/27/2023 23:37:14,09/27/2023 23:37:42,28.005,-20
Svalbard,09/28/2023 01:13:09,09/28/2023 01:15:20,130.862,-20
Svalbard,09/28/2023 01:13:55,09/28/2023 01:15:17,82.165,-10
Svalbard,09/28/2023 02:51:16,09/28/2023 02:53:23,126.33,10
Svalbard,09/28/2023 02:51:26,09/28/2023 02:53:12,106.112,0
Svalbard,09/28/2023 02:51:48,09/28/2023 02:52:50,61.368,-10
Svalbard,09/28/2023 02:52:04,09/28/2023 02:53:24,80.785,20
Svalbard,09/28/2023 04:29:50,09/28/2023 04:31:55,124.878,20
Fairbanks,09/28/2023 04:39:45,09/28/2023 04:41:45,120.301,20
Fairbanks,09/28/2023 04:39:50,09/28/2023 04:41:55,125.313,10
Fairbanks,09/28/2023 04:40:03,09/28/2023 04:41:43,99.167,0
Fairbanks,09/28/2023 04:40:34,09/28/2023 04:41:14,39.914,-10
Troll,09/28/2023 08:44:32,09/28/2023 08:46:03,91.222,10
Troll,09/28/2023 08:44:55,09/28/2023 08:45:47,51.631,20
Punta Arenas,09/28/2023 12:08:11,09/28/2023 12:10:27,136.044,20
Troll,09/28/2023 13:36:15,09/28/2023 13:37:01,46.093,20
Fairbanks,09/28/2023 14:20:56,09/28/2023 14:23:07,131.067,-20
Fairbanks,09/28/2023 14:22:12,09/28/2023 14:23:05,53.277,-10
Troll,09/28/2023 15:13:04,09/28/2023 15:15:01,116.854,10
Troll,09/28/2023 15:13:42,09/28/2023 15:14:25,42.611,0
Svalbard,09/28/2023 17:48:30,09/28/2023 17:50:53,143.626,20
Svalbard,09/28/2023 17:49:22,09/28/2023 17:50:02,39.227,10
Svalbard,09/28/2023 19:27:07,09/28/2023 19:29:08,121.065,10
Svalbard,09/28/2023 19:27:10,09/28/2023 19:29:06,116.61,0
Svalbard,09/28/2023 19:27:21,09/28/2023 19:28:55,94.793,-10
Svalbard,09/28/2023 19:27:47,09/28/2023 19:28:29,41.944,-20
Svalbard,09/28/2023 21:04:58,09/28/2023 21:07:17,138.747,-20
Punta Arenas,09/28/2023 21:43:09,09/28/2023 21:44:20,70.896,10
Punta Arenas,09/28/2023 21:43:28,09/28/2023 21:44:58,89.72,0
Svalbard,09/28/2023 22:44:46,09/28/2023 22:45:05,19.687,-20
Svalbard,09/29/2023 00:20:20,09/29/2023 00:22:45,145.189,-20
Svalbard,09/29/2023 01:58:28,09/29/2023 02:00:25,116.983,-10
Svalbard,09/29/2023 01:58:29,09/29/2023 02:00:26,116.68,0
Svalbard,09/29/2023 01:58:37,09/29/2023 02:00:15,97.444,-20
Svalbard,09/29/2023 03:36:29,09/29/2023 03:38:59,149.983,20
Svalbard,09/29/2023 03:36:49,09/29/2023 03:38:37,107.761,10
Fairbanks,09/29/2023 03:47:10,09/29/2023 03:48:25,75.049,20
Fairbanks,09/29/2023 05:24:58,09/29/2023 05:27:17,139.184,-20
Troll,09/29/2023 07:51:57,09/29/2023 07:53:18,80.925,-10
Troll,09/29/2023 09:29:15,09/29/2023 09:31:15,120.547,20
Punta Arenas,09/29/2023 11:17:34,09/29/2023 11:17:39,5.512,-20
Troll,09/29/2023 14:20:24,09/29/2023 14:22:37,132.377,20
Fairbanks,09/29/2023 15:06:17,09/29/2023 15:08:20,122.872,10
Fairbanks,09/29/2023 15:06:17,09/29/2023 15:08:31,133.767,20
Fairbanks,09/29/2023 15:06:37,09/29/2023 15:07:58,80.799,0
Troll,09/29/2023 15:58:21,09/29/2023 16:00:03,102.27,-10
Troll,09/29/2023 15:58:44,09/29/2023 15:59:40,56.436,-20
Svalbard,09/29/2023 16:56:06,09/29/2023 16:56:48,41.375,20
Svalbard,09/29/2023 18:33:57,09/29/2023 18:36:23,146.057,20
Svalbard,09/29/2023 18:34:11,09/29/2023 18:36:09,118.813,10
Svalbard,09/29/2023 18:34:38,09/29/2023 18:35:42,64.039,0
Svalbard,09/29/2023 20:12:22,09/29/2023 20:14:24,121.833,-10
Svalbard,09/29/2023 20:12:28,09/29/2023 20:14:19,111.266,-20
Svalbard,09/29/2023 21:50:00,09/29/2023 21:52:27,146.512,-20
Svalbard,09/29/2023 23:29:35,09/29/2023 23:30:09,34.296,-20
Svalbard,09/30/2023 01:05:33,09/30/2023 01:07:47,133.931,-20
Svalbard,09/30/2023 01:06:45,09/30/2023 01:07:43,58.096,-10
Svalbard,09/30/2023 02:43:41,09/30/2023 02:45:46,125.357,10
Svalbard,09/30/2023 02:43:48,09/30/2023 02:45:39,110.779,0
Svalbard,09/30/2023 02:44:05,09/30/2023 02:45:21,75.602,-10
Svalbard,09/30/2023 04:22:08,09/30/2023 04:24:21,133.012,20
Fairbanks,09/30/2023 04:32:04,09/30/2023 04:34:26,142.735,20
